permit_number,case_type,case_name,sub_type,work,status,proposed_land_use,desc_of_proposed_development,final_date,status_date,application_start_date,approval_date,calendar_year_folder_created,zip_code,existing_no_of_lots,proposed_no_of_lots
1992-000051 C8,Subdivision,"WALNUT CREEK PH 2 SEC 19, 1ST RESUBDIVISION OF LOT 1, BLOCK A",Final Plat,Resubdivision,Approved,999,"WALNUT CREEK PHASE 2, SECTION 19, LOT 1, BLOCK A  RESUBDIVISION",04/21/1992,02/11/2009 08:10:31 AM,04/02/1992,NA,1992,78758,NA,3
2010-004829 C,Subdivision Joint City/County,Elm Creek Centre Preliminary Plat (withd/resub of C8J-2009-0007),Preliminary Plan,Preliminary,Approved,Commercial,NA,06/02/2010,01/13/2011 03:37:20 PM,01/20/2010,06/02/2010,2010,78724,1,7
2018-018261 C8,Subdivision,"Malone Subdivision, Section Two",Final Plat,With Preliminary,Subdivision Recorded,Single Family,NA,04/18/2019,04/18/2019 10:18:46 AM,02/13/2018,04/18/2019,2018,78748,3,77
2013-027525 C8,Subdivision,Tech Ridge Section 2,Final Plat,Resubdivision,Subdivision Recorded,Commercial,NA,NA,10/17/2013 02:18:20 PM,03/20/2013,NA,2013,78753,7,3
2017-143535 C8,Subdivision,Saint Elmo Public Market,Final Plat,Resubdivision,Subdivision Recorded,Commercial,NA,06/28/2019,06/28/2019 09:40:31 AM,11/14/2017,06/28/2019,2017,78745,2,1
2006-000182 C8,Subdivision,"LAKE SHORE ADDITION, RESUBDIVISION OF",Final Plat,Resubdivision,Expired,SF,"LAKE SHORE ADDITION, RESUBDIVISION OF",NA,12/21/2007 08:29:27 AM,08/09/2006,NA,2006,78746,NA,8
1984-000080 C8,Subdivision,MILWOOD 37B,NA,NA,Approved and Released,999,MILWOOD 37B,05/13/1996,03/02/2007 06:10:13 AM,04/24/1996,NA,1996,NA,NA,NA
2015-016993 C,Subdivision Joint City/County,Pearson Place Section Four,Subdivision Construction Plan,Street/Drainage,Approved and Released,"SF, ROW OTHER",NA,NA,09/23/2015 09:57:55 AM,02/13/2015,09/23/2015,2015,78717,NA,103
1992-000080 C8,Subdivision,SENNA HILLS SECTION 2,NA,NA,Approved,"999, 999, 999",SENNA HILLS SECTION 2,10/13/1994,03/02/2007 06:10:13 AM,07/26/1993,NA,1993,NA,NA,NA
2018-004410 C8,Subdivision,Charles Schwab Austin Campus Final Plat,Final Plat,Resubdivision,Subdivision Recorded,Office,NA,07/31/2020,07/31/2020 04:33:05 PM,01/11/2018,07/31/2020,2018,78758,1,2
2006-000067 C,Subdivision Joint City/County,"RIVER PLACE SEC 22, AMENDED PLAT OF LOTS 168 & 169, BLOCK A",Final Plat,Amended Plat,Approved,SF,"RIVER PLACE SECTION 22, AMENDED PLAT OF LOTS 168 & 169, BLOCK A",05/10/2006,12/21/2007 03:05:00 PM,03/20/2006,NA,2006,78730,NA,1
2016-117008 C8,Subdivision,Hudson Aviary (W/R of C8-2015-0187.0A),Final Plat,Previously Unplatted,Subdivision Recorded,Single Family,NA,01/23/2017,01/23/2017 03:49:55 PM,09/23/2016,01/23/2017,2016,78721,3,1
2009-094254 C,Subdivision Joint City/County,Colliers Wood Subdivision (Withdraw/Resubmittal of C8J-2008-0179),Preliminary Plan,Preliminary,Withdrawn,"SF, MF, GRBLT, ROW, COMMERCIAL",NA,NA,08/31/2010 09:12:12 AM,08/19/2009,NA,2009,78754,0,356
1996-000218 C8,Subdivision,"FISKVILLE SCHOOL ADDITION, RESUBDIVISION OF LOT 11, BLOCK 1",Final Plat,Resubdivision,Approved,999,"FISKVILLE SCHOOL ADDITION, LOT 11 BLOCK 1, RESUBDIVISION",NA,03/17/2009 11:46:04 AM,10/17/1996,NA,1996,78753,NA,2
2014-017802 C8,Subdivision,"Avery Ranch Far West, Ph 3, Section 5 & 5A lots 12, 16, 13 & 15; Amended Plat",Final Plat,Amended Plat,Expired,Single Family,NA,NA,03/03/2015 03:45:37 AM,02/24/2014,NA,2014,NA,4,4
1985-000105 C8,Subdivision,"DEER PARK AT MAPLE RUN, SECTION 16-C",NA,NA,Approved,999,"DEER PARK AT MAPLE RUN, SECTION 16-C",06/20/1996,03/02/2007 06:10:13 AM,11/22/1995,NA,1995,NA,NA,NA
1983-000068 C,Subdivision Joint City/County,RIVER PLACE PRELIMINARY PLAN REVISION NO. 14,Preliminary Plan,Revised Preliminary,Expired,"SF, RET, GRBL",RIVER PLACE PRELIMINARY PLAN REVISION NO. 14,05/27/2003,03/02/2007 06:10:13 AM,04/22/2003,NA,2003,NA,NA,NA
1992-000161 C8,Subdivision,"EDWARD'S CROSSING PH A, SEC 1",Final Plat,With Preliminary,Approved,"999, 999",EDWARD'S CROSSING PHASE A SECTION 1,07/18/1995,01/13/2009 03:22:22 PM,12/12/1994,NA,1994,NA,NA,1
1995-000213 C8,Subdivision,VISTA DEL PUEBLO,NA,NA,Approved,999,VISTA DEL PUEBLO,NA,03/02/2007 06:10:13 AM,08/31/1995,NA,1995,NA,NA,7
1986-000007 C8,Subdivision,COMMERCE CENTRE SOUTH (AKA AUSTIN SOUTH BUSINESS PARK),NA,NA,Closed,"999, 999, 999",COMMERCE CENTRE SOUTH (AKA AUSTIN SOUTH BUSINESS PARK),05/26/1987,03/02/2007 06:10:13 AM,04/20/1987,NA,1987,NA,NA,NA
1999-000090 C8,Subdivision,"CENTRAL COMMERCE BUSINESS PARK, LOT 2, BLOCK A",Final Plat,Without Preliminary,Approved,999,"CENTRAL COMMERCE BUSINESS PARK, LOT 2, BLOCK A",09/22/1999,03/02/2007 06:10:13 AM,05/11/1999,NA,1999,78664,NA,NA
1992-000224 C8,Subdivision,SPICEWOOD GREEN,NA,NA,Approved,999,SPICEWOOD GREEN,NA,03/02/2007 06:10:13 AM,10/05/1992,NA,1992,NA,NA,NA
1993-000034 C8,Subdivision,"VILLAGE AT MEADOW MOUNTAIN I-B, 1993 RESUBDIVISION, THE",NA,NA,Approved,999,"VILLAGE AT MEADOW MOUNTAIN I-B, 1993 RESUBDIVISION, THE",10/25/1993,03/02/2007 06:10:13 AM,02/17/1993,NA,1993,NA,NA,NA
2008-076021 C,Subdivision Joint City/County,..,Preliminary Plan,Preliminary,VOID,"MF, SF, RET, OPEN SPACE",NA,NA,09/26/2008 11:09:01 AM,09/25/2008,NA,2008,78719,0,197
1984-000100 C8,Subdivision,GARDENS AT DECKER LAKE- APARTMENT SITE,NA,NA,Approved,999,GARDENS AT DECKER LAKE- APARTMENT SITE,11/19/1997,03/02/2007 06:10:13 AM,01/16/1997,NA,1997,NA,NA,NA
1994-000250 C8,Subdivision,JEFFERSON AT MCNEIL/PARMER SUBDIVISION,NA,NA,Approved,999,JEFFERSON AT MCNEIL/PARMER SUBDIVISION,NA,03/02/2007 06:10:13 AM,11/18/1994,NA,1994,NA,NA,NA
1984-000164 C8,Subdivision,"CIRCLE C PHASE A, REVISED PRELIMINARY",NA,NA,Closed,"999, 999","CIRCLE C PHASE A, REVISED PRELIMINARY",12/17/1993,03/02/2007 06:10:13 AM,07/29/1992,NA,1992,NA,NA,NA
2019-004737 C8,Subdivision,"Highland Park West Resubdivision of Portions of Lots 3, 4 and 5; Blk O",Final Plat,Resubdivision,Subdivision Recorded,Single Family,NA,08/19/2019,08/19/2019 01:36:11 PM,01/07/2019,08/19/2019,2019,78731,1,2
1988-000016 C8,Subdivision,WALNUT CREEK CENTER SEC. 5  **EXPIRED**,NA,NA,Expired,"999, 999",WALNUT CREEK CENTER SEC. 5  **EXPIRED**,05/13/1988,03/02/2007 06:10:13 AM,02/26/1988,NA,1988,NA,NA,NA
1985-000105 C8,Subdivision,DEER PARK AT MAPLE RUN SECTION 10,NA,NA,Approved,"999, 999, 999",DEER PARK AT MAPLE RUN SECTION 10,01/03/1992,03/02/2007 06:10:13 AM,12/02/1991,NA,1991,NA,NA,NA
2020-084992 C8,Subdivision,Avery Lakeline,Preliminary Plan,Preliminary,Expired,Commercial Multi Family,NA,NA,07/21/2020 09:01:44 PM,06/05/2020,NA,2020,NA,1,9
2006-000129 C,Subdivision Joint City/County,"CANYONS AT LAKE TRAVIS, THE",Preliminary Plan,Preliminary,Withdrawn,"SF, 999","CANYONS AT LAKE TRAVIS, THE",11/14/2006,03/14/2007 04:49:27 PM,06/07/2006,NA,2006,NA,NA,NA
1989-000024 C8,Subdivision,HUNTER'S POINT SECTION II,NA,NA,Approved,999,HUNTER'S POINT SECTION II,03/15/1989,03/02/2007 06:10:13 AM,03/03/1989,NA,1989,NA,NA,NA
2018-203263 C8,Subdivision,East Rundberg Lane Extension Construction Plans,Subdivision Construction Plan,Non-Concurrent,Waiting on Legal,Commercial,NA,NA,01/10/2020 02:31:20 PM,11/30/2018,NA,2018,78754,NA,1
1993-000010 C8,Subdivision,CANYON RIDGE PHASE B,Subdivision Vacation,With Replat,Approved,NA,CANYON RIDGE PHASE B,NA,07/30/2007 09:19:56 AM,01/26/2007,NA,2007,78730,8,8
1997-000215 C8,Subdivision,TRAVIS COOKE ROAD ADDITION,NA,NA,Approved,NA,TRAVIS COOKE ROAD ADDITION,11/10/2004,03/02/2007 06:10:13 AM,11/04/2004,NA,2004,78735,NA,NA
1992-000261 C8,Subdivision,BLUFFS SECTION 2 AT THE VILLAGES OF SPICEWOOD,NA,NA,Approved and Released,"999, 999",BLUFFS SECTION 2 AT THE VILLAGES OF SPICEWOOD,07/27/1994,03/02/2007 06:10:13 AM,03/23/1994,NA,1994,NA,NA,NA
1985-000067 C8,Subdivision,LAKELINE VILLAGE,Final Plat,With Preliminary,Approved,RET,LAKELINE VILLAGE,12/23/2002,03/02/2007 06:10:13 AM,10/01/2002,NA,2002,NA,NA,NA
2013-003033 C8,Subdivision,South Shore Retail Replat & Subdivision Plat,Final Plat,With Preliminary,Expired,NA,NA,NA,02/26/2013 09:00:57 PM,01/11/2013,NA,2013,78741,1,1
1984-000145 C8,Subdivision,VILLAGE AT WESTERN OAKS SECTION III-D & III-E,NA,NA,Approved and Released,"999, 999",VILLAGE AT WESTERN OAKS SECTION III-D & III-E,12/31/1992,03/02/2007 06:10:13 AM,12/11/1992,NA,1992,NA,NA,NA
2004-000018 C8,Subdivision,"DAVENPORT RANCH PH 7 SEC 1, AMENDED PLAT OF LOT 1",Final Plat,Amended Plat,Approved,MF,"DAVENPORT RANCH PHASE 7, SECTION 1, AMENDED PLAT OF LOT 1",02/18/2004,01/28/2009 02:07:54 PM,02/13/2004,NA,2004,NA,NA,1
1997-000123 C8,Subdivision,CROSSINGS AT LAKELINE REVISED,Preliminary Plan,Revised Preliminary,Approved,ROW,CROSSING AT LAKELINE REVISED,NA,10/03/2008 08:15:11 AM,11/17/2006,05/28/2007,2006,NA,2,2
2014-116434 C8,Subdivision,MEK Subdivision,Final Plat,Previously Unplatted,Subdivision Recorded,Single Family,NA,12/22/2015,12/22/2015 04:42:18 PM,10/28/2014,12/22/2015,2014,NA,0,1
1984-000102 C8,Subdivision,LANTANA,NA,NA,Closed,999,LANTANA,04/19/1988,03/02/2007 06:10:13 AM,02/26/1988,NA,1988,NA,NA,NA
1999-002117 C8,Subdivision,"TECH. RIDGE, REPLAT OF",Final Plat,Without Preliminary,Approved,IND,"TECH. RIDGE, REPLAT OF",NA,03/02/2007 06:10:13 AM,12/07/1999,NA,1999,78753,NA,NA
2003-000189 C8,Subdivision,COLORADO CROSSING PH 1,NA,NA,Approved,NA,COLORADO CROSSING PH 1,NA,03/02/2007 06:10:13 AM,04/28/2006,NA,2006,78744,NA,NA
2018-156484 C8,Subdivision,Domain Lot D9 Subdivision,Final Plat,Resubdivision,Subdivision Recorded,Commercial,NA,03/26/2019,03/26/2019 04:46:48 PM,08/31/2018,03/26/2019,2018,78758,1,4
2004-000089 C8,Subdivision,"THOMAS PLACE, AMENDED PLAT OF LOTS 9 & 10",Final Plat,Amended Plat,Approved,SF,"THOMAS PLACE, AMENDED PLAT OF LOTS 9 & 10",07/01/2004,02/04/2009 03:20:05 PM,06/02/2004,NA,2004,NA,NA,2
2013-041175 C,Subdivision Joint City/County,"STEINER RANCH PH 2, SEC 9",Subdivision Vacation,With Replat,Expired,Commercial,NA,NA,11/04/2013 03:45:37 AM,04/23/2013,NA,2013,NA,3,3
2013-097026 C8,Subdivision,Annex to River View Addition Block 8 Lots 1 and part of 2; Resubdivision,Final Plat,Resubdivision,Expired,Single Family,NA,NA,11/01/2013 09:00:11 PM,09/16/2013,NA,2013,78702,2,4
1992-000219 C8,Subdivision,MCCARTY SUBDIVISION (INVALID ?),NA,NA,Closed,999,MCCARTY SUBDIVISION (INVALID ?),NA,10/28/2010 05:08:12 PM,09/24/1992,NA,1992,78729,NA,NA
2005-000121 C,Subdivision Joint City/County,"YACKTMAN SUBDIVISION, A RESUB OF FLEECIE P. PARNELL ESTATE SUBD, LOT 5, BLOCK A",Final Plat,Without Preliminary,Approved,SF,"YACKTMAN SUBDIVISION, A RESUBD OF FLEECIE P. PARNELL ESTATE SUBD, LOT 5, BLOCK A",04/14/2006,09/14/2007 10:36:04 AM,07/18/2005,NA,2005,NA,NA,11
2008-013777 C8,Subdivision,Reserve at Southpark Meadows Phase 2A,Subdivision Construction Plan,Concurrent,Expired,"SF, ROW, GRBLT",NA,NA,08/08/2014 03:16:10 PM,02/28/2008,NA,2008,NA,NA,82
1990-000132 C8,Subdivision,BALCONES VILLAGE SECTION 12-A,NA,NA,Approved,"999, 999",BALCONES VILLAGE SECTION 12-A,11/29/1990,03/02/2007 06:10:13 AM,11/14/1990,NA,1990,NA,NA,NA
2005-000230 C8,Subdivision,"DAVENPORT RANCH WEST P.U.D.- TRACT F, SECTION 4 BLOCK D, LOT 1, 1-A & BLOCK E LO",Preliminary Plan,Preliminary,Approved,"ROW, 999","DAVENPORT RANCH WEST P.U.D.- TRACT F, SECTION 4 BLOCK D, LOT 1, 1-A & BLOCK E LOT 16; PRELIMINARY PLAN",04/20/2006,03/02/2007 06:10:13 AM,11/10/2005,NA,2005,NA,NA,NA
2007-164334 C8,Subdivision,"Plainview Heights, Resub of Lot 3 & W 25.3 ft. of Lot 4",Final Plat,Resubdivision,Approved,OFC,NA,06/10/2008,06/24/2008 11:32:34 AM,11/07/2007,05/27/2008,2007,78751,2,2
2013-080525 C8,Subdivision,Knollwood on the Colorado Ricer Section 2B,Subdivision Construction Plan,Non-Concurrent,Subdivision Recorded,"SF, ROW, PUB",NA,NA,04/03/2014 10:41:49 AM,08/02/2013,04/03/2014,2013,78725,NA,79
1982-000044 C8,Subdivision,TREEMONT PHASE B SECTION 5 (FIRST PHASE CONSTRUCTION),NA,NA,Approved and Released,"999, 999",TREEMONT PHASE B SECTION 5 (FIRST PHASE CONSTRUCTION),NA,03/02/2007 06:10:13 AM,12/02/1993,NA,1993,NA,NA,4
2016-144046 C8,Subdivision,Evergreen Subdivision,Final Plat,Resubdivision,Expired,Commercial Multi Family,NA,NA,01/08/2017 09:00:11 PM,11/23/2016,NA,2016,78704,1,1
1995-000232 C8,Subdivision,LAURELWOOD ESTATES CONSTRUCTION PLANS,Subdivision Construction Plan,Non-Concurrent,Approved and Released,"999, 999, 999",LAURELWOOD ESTATES CONSTRUCTION PLANS,09/20/1999,05/18/2009 10:22:51 AM,05/11/1999,NA,1999,NA,NA,132
2012-085172 C,Subdivision Joint City/County,Texas Twenty,Subdivision Construction Plan,Street/Drainage,Approved and Released,RET,NA,NA,02/22/2013 10:12:44 AM,08/22/2012,02/22/2013,2012,NA,NA,2
1997-000024 C8,Subdivision,SOUTHWEST CHURCH OF CHRIST,NA,NA,Approved,999,SOUTHWEST CHURCH OF CHRIST,NA,03/02/2007 06:10:13 AM,02/14/1997,NA,1997,NA,NA,NA
2020-173776 C8,Subdivision,Musgrove Subdivision Phase 3,Final Plat,Resubdivision,Subdivision Recorded,Hotel,NA,04/07/2021,04/07/2021 10:37:27 AM,11/16/2020,04/07/2021,2020,78702,1,1
2007-167326 C8,Subdivision,COLTON BLUFF SUBDIVISION PHASE I (SMART HOUSING),Final Plat,With Preliminary,Waiting on Fiscal,"SF, RET",NA,NA,01/28/2008 10:52:14 AM,11/21/2007,NA,2007,NA,1,89
1994-000186 C8,Subdivision,"CHERRY CREEK SECTION 14, PHASE 3",NA,NA,Approved and Released,999,"CHERRY CREEK SECTION 14, PHASE 3",NA,03/02/2007 06:10:13 AM,03/03/1995,NA,1995,NA,NA,NA
1994-000053 C8,Subdivision,"WELLS BRANCH PHASE R, SECTION 3  (WITHDRAWN & RESUBMITTED SEE C8-95-0048)",NA,NA,Withdrawn,"999, 999","WELLS BRANCH PHASE R, SECTION 3  (WITHDRAWN & RESUBMITTED SEE C8-95-0048)",NA,03/02/2007 06:10:13 AM,03/21/1994,NA,1994,NA,NA,NA
2013-106854 C8,Subdivision,Lots 47 & 48 Enfield E; Resubdivision of,Final Plat,Resubdivision,Expired,Commercial,NA,NA,11/26/2013 09:43:18 PM,10/11/2013,NA,2013,78703,2,2
2013-124146 C,Subdivision Joint City/County,Raceway Single Family Subdivision Section Three,Subdivision Construction Plan,Street/Drainage,Approved and Released,"Single Family, Greenbelt, ROW",NA,NA,08/08/2013 02:14:05 PM,12/14/2012,07/30/2013,2012,78728,NA,66
1997-000056 C8,Subdivision,"VILLAGE 7 AT TRAVIS COUNTRY, (*EXPIRED*) BLOCK C, LOT 33, REPLAT OF",NA,NA,Expired,999,"VILLAGE 7 AT TRAVIS COUNTRY, (*EXPIRED*) BLOCK C, LOT 33, REPLAT OF",NA,03/02/2007 06:10:13 AM,03/19/1997,NA,1997,NA,NA,1
1981-000014 C8,Subdivision,"JESTER POINT II, SECTION 8",NA,NA,Approved,999,"JESTER POINT II, SECTION 8",10/07/1997,03/02/2007 06:10:13 AM,10/14/1996,NA,1996,NA,NA,NA
1985-000029 C8,Subdivision,DAVIS SPRING SECTION 6A,NA,NA,Approved and Released,999,DAVIS SPRING SECTION 6A,08/27/1996,03/02/2007 06:10:13 AM,02/13/1996,NA,1996,NA,NA,39
2018-009292 C,Subdivision Joint City/County,Flintrock Subdivision,Final Plat,Previously Unplatted,In Review,Single Family,NA,NA,04/22/2021 05:40:29 PM,01/24/2018,NA,2018,78737,5,10
1997-000061 C8,Subdivision,WALNUT CREEK BUSINESS PARK PHASE C-4 AMENDED PLAT,Final Plat,Amended Plat,Approved,999,WALNUT CREEK BUSINESS PARK PHASE C-4 AMENDED PLAT,NA,04/09/2009 01:53:53 PM,03/27/1997,NA,1997,78754,NA,2
2017-131781 C8,Subdivision,Parmer Business Park Amended Plat,Final Plat,Amended Plat,Subdivision Recorded,Commercial,NA,12/11/2018,12/11/2018 12:01:59 PM,10/18/2017,12/11/2018,2017,78753,6,7
2011-021663 C8,Subdivision,Great Wall Subdivistion; Replat of Lot 1,Final Plat,With Replat,Expired,NA,NA,NA,03/11/2012 03:46:06 AM,03/17/2011,NA,2011,78759,1,1
2005-000009 C,Subdivision Joint City/County,"RIVER PLACE SEC 26, RESUBDIVISION OF LOT 1, BLOCK B",Final Plat,Without Preliminary,Approved,999,"RIVER PLACE SEC 26, RESUBDIVISION OF LOT 1, BLOCK B",08/15/2005,03/02/2007 06:10:13 AM,01/18/2005,NA,2005,78730,NA,NA
1997-000179 C8,Subdivision,DOSOH'S ADDITION (RESUBMITTAL OF C8-95-0015.0A),NA,NA,Closed,999,DOSOH'S ADDITION (RESUBMITTAL OF C8-95-0015.0A),NA,10/28/2010 05:08:12 PM,08/20/1997,NA,1997,78741,NA,NA
1990-000047 C8,Subdivision,SANDAHL-BRODIE SEC 1,Final Plat,With Preliminary,Expired,PUB,SANDAHL-BRODIE SUBDIVISION SECTION ONE,01/20/2004,02/05/2009 02:27:42 PM,12/09/2003,NA,2003,NA,NA,NA
2001-000051 C8,Subdivision,BLUEBONNET SUBDIVISION,Final Plat,Without Preliminary,Approved,SF,BLUEBONNET SUBDIVISION,07/20/2001,03/02/2007 06:10:13 AM,02/20/2001,NA,2001,78704,NA,NA
1987-000001 C8,Subdivision,PARKSTONE,NA,NA,Closed,"999, 999, 999, 999, 999",PARKSTONE,NA,03/02/2007 06:10:13 AM,03/14/1987,NA,1987,NA,NA,NA
2001-Z192731 C8,Subdivision,"WALSH PLACE, BLOCK 11, LOTS 3 & 4; RESUBDIVISION",Final Plat,Without Preliminary,Closed,SF,"WALSH PLACE, BLOCK 11, LOTS 3 & 4; RESUBDIVISION",NA,03/02/2007 06:10:13 AM,NA,NA,NA,78703,NA,NA
1995-000032 C8,Subdivision,ROCKCLIFF SUBDIVISION **WITHDRAWN**,NA,NA,Withdrawn,999,ROCKCLIFF SUBDIVISION **WITHDRAWN**,NA,03/02/2007 06:10:13 AM,02/23/1995,NA,1995,78746,NA,NA
2004-000014 C8,Subdivision,"SLAUGHTER/IH-35 COMMERCIAL, RESUBDIVISION OF LOTS 1 & 2",Final Plat,Without Preliminary,Approved,RET,"SLAUGHTER/IH-35 COMMERCIAL, RESUBDIVISION OF LOTS 1 & 2",03/11/2004,03/02/2007 06:10:13 AM,02/03/2004,NA,2004,NA,NA,NA
2018-152858 C8,Subdivision,Berkman Tower View Subdivision Construction (W/R C8-04-0043.09.1B.SH),Subdivision Construction Plan,Concurrent,Approved and Released,planned unit development,NA,NA,06/19/2020 12:51:55 PM,08/24/2018,06/19/2020,2018,78723,NA,58
2007-161129 C,Subdivision Joint City/County,"RDO Equipment, Amended Plat of Lots 1 & 2, Block A",Final Plat,Amended Plat,Approved,Commercial,NA,NA,05/30/2008 11:00:02 AM,10/24/2007,02/21/2008,2007,78660,2,9.926
2006-000192 C8,Subdivision,"Stassney Heights South Retail Subd, Replat of Lots 8, 10 & 11, Blk A",Final Plat,Resubdivision,Approved,MF,"STASSNEY HEIGHTS SOUTH RETAIL SUBDIVISION, REPLAT OF",12/03/2007,12/21/2007 08:29:37 AM,08/29/2006,05/08/2007,2006,78745,3,1
1996-000234 C8,Subdivision,"BARKLEY SUBDIVISION SEC 1, LOT 3",Final Plat,With Preliminary,Approved,NA,"BARKLEY SUBDIVISION SEC 1, LOT 3",01/20/2000,03/20/2009 10:51:34 AM,11/02/1999,NA,1999,78744,NA,NA
1993-000119 C8,Subdivision,SPICEWOOD VIEW OFFICE SUBDIVISION,NA,NA,Approved,999,SPICEWOOD VIEW OFFICE SUBDIVISION,06/24/1994,03/02/2007 06:10:13 AM,07/09/1993,NA,1993,NA,NA,NA
1996-000101 C8,Subdivision,PRESERVE AT TRAVIS CREEK SEC 1,Final Plat,Resubdivision,Approved,999,PRESERVE AT TRAVIS CREEK SECTION ONE,NA,04/16/2009 01:57:56 PM,05/20/1996,NA,1996,NA,NA,2
2018-091558 C8,Subdivision,QuikTrip No. 4129,Final Plat,Previously Unplatted,Subdivision Recorded,Mixed Use,NA,07/16/2019,07/16/2019 09:08:15 AM,05/24/2018,07/16/2019,2018,78753,1,3
2002-000170 C8,Subdivision,"COLORADO FOOTHILLS SEC 2, AMENDED PLAT OF LOTS 5 & 6, BLK 4",Final Plat,Amended Plat,Approved,SF,"COLORADO FOOTHILLS SEC 2, BLOCK 4, AMENDED PLAT OF LOTS 5 & 6",11/25/2002,01/28/2009 01:33:24 PM,09/16/2002,NA,2002,78731,NA,2
1986-000086 C8,Subdivision,OPEN MEADOWS SUBDIVISION,NA,NA,Approved,999,OPEN MEADOWS SUBDIVISION,04/23/1992,03/02/2007 06:10:13 AM,03/26/1992,NA,1992,NA,NA,NA
2007-167851 C,Subdivision Joint City/County,"Dessau Point, Resub of Lot 1",Final Plat,Resubdivision,Approved,Office,NA,07/16/2008,03/13/2009 11:46:47 AM,11/27/2007,06/17/2008,2007,78660,2,4
2005-000237 C8,Subdivision,"GARZA RANCH, RESUBDIVISION OF LOT 1, BLOCK D",Final Plat,Resubdivision,Approved,RET,"GARZA RANCH, RESUBDIVISION OF LOT 1, BLOCK D",05/17/2006,02/11/2009 08:46:13 AM,11/23/2005,NA,2005,78749,NA,4
2017-063137 C8,Subdivision,SAVAGE SUBDIVISION,Subdivision Vacation,With Replat,Awaiting Recordation,SF,NA,NA,10/11/2017 04:02:23 PM,05/24/2017,NA,2017,78750,1,0
2009-113115 C8,Subdivision,"Covered Bridge Sec 7, Amended Plat of Amended Plat of Lts 53-55 Blk D and Lots 1",Final Plat,Amended Plat,Approved,OFFICE/RETAIL,NA,04/12/2010,07/06/2010 01:33:28 PM,10/07/2009,03/30/2010,2009,78736,7,7
2002-000085 C8,Subdivision,CHAMPION 360 SUBDIVISION,Final Plat,Without Preliminary,Approved,NA,CHAMPION 360 SUBDIVISION,05/06/2003,03/02/2007 06:10:13 AM,05/07/2002,NA,2002,NA,NA,NA
1998-Z002059 C8,Subdivision,"CIRCLE C RANCH PHASE B, SECTION TWENTY",Final Plat,With Preliminary,Closed,NA,"CIRCLE C RANCH PHASE B, SECTION TWENTY",NA,03/02/2007 06:10:13 AM,NA,NA,NA,NA,NA,NA
2019-165712 C,Subdivision Joint City/County,Aus-Tex Acres,Final Plat,Previously Unplatted,Expired,Industrial,NA,NA,12/16/2020 03:45:50 AM,08/09/2019,NA,2019,78653,NA,1
1988-000001 C8,Subdivision,"DAVENPORT WEST PUD-SECTION 5, PHASE I",Subdivision Construction Plan,NA,Approved and Released,999,"DAVENPORT WEST PUD-SECTION 5, PHASE I",NA,03/02/2007 06:10:13 AM,07/20/1994,NA,1994,NA,NA,NA
2009-107133 C8,Subdivision,Met Center II; Resubdivision,Final Plat,Resubdivision,Expired,OFF/RET/IND,NA,NA,12/21/2009 02:16:17 PM,09/22/2009,NA,2009,78744,1,3
1992-000164 C8,Subdivision,"CIRCLE C RANCH PAHSE 1, SECTION ONE **WITHDRAWN**",NA,NA,Withdrawn,"999, 999","CIRCLE C RANCH PAHSE 1, SECTION ONE **WITHDRAWN**",08/05/1993,03/02/2007 06:10:13 AM,08/06/1992,NA,1992,NA,NA,1
2013-116802 C8,Subdivision,Bouldin Court Construction Plans,Subdivision Construction Plan,Concurrent,Awaiting Update,"Single Family, Multifamily, ROW",NA,NA,09/04/2014 05:35:51 PM,11/07/2013,NA,2013,78704,NA,23
1984-000188 C8,Subdivision,WELLS POINT PHASE B SECTION FOUR,NA,NA,Closed,999,WELLS POINT PHASE B SECTION FOUR,12/05/1986,03/02/2007 06:10:13 AM,11/14/1986,NA,1986,NA,NA,NA
1987-000002 C8,Subdivision,MEADOWCREEK P.U.D.,NA,NA,Closed,999,MEADOWCREEK P.U.D.,NA,03/02/2007 06:10:13 AM,03/25/1987,NA,1987,NA,NA,NA
2010-056269 C8,Subdivision,"Woodlawn Baptist Church Subd;Resub of Lot 5,13-16,31-32 Western Trails Sec 1",Final Plat,Resubdivision,Subdivision Recorded,"Church, 6 Single Family Homes",NA,11/04/2010,11/04/2010 03:22:38 PM,06/29/2010,11/04/2010,2010,78745,7,7
1998-000180 C8,Subdivision,"NORTH PARK SEC 4, RESUBDIVISION OF LOT 1, BLOCK C",Final Plat,Resubdivision,Approved,999,"NORTH PARK SECTION FOUR, BLOCK ""C"" LOT 1 RESUBDIVISION",01/14/1999,03/17/2009 08:25:05 AM,10/20/1998,NA,1998,78660,NA,2
2015-120835 C,Subdivision Joint City/County,Kara Drive Bridge,Final Plat,With Preliminary,Withdrawn,ROW,NA,NA,05/31/2017 02:09:05 PM,10/06/2015,NA,2015,NA,1,1
2008-058313 C8,Subdivision,Salvation Replat,Final Plat,Without Preliminary,Withdrawn,Multi-Family,NA,NA,07/21/2009 02:37:52 PM,07/25/2008,NA,2008,78704,1,2
1997-000126 C8,Subdivision,CANTERBURY TRAILS SECTION IV,NA,NA,Approved and Released,999,CANTERBURY TRAILS SECTION IV,12/21/1998,03/02/2007 06:10:13 AM,09/18/1998,NA,1998,NA,NA,NA
